,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
95,38,blue,no,more,male,1697622184937,2419,35,id5_v1_b6_r7.jpg,5,7,6,1,769,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
96,38,red,no,more,male,1697622184937,2419,36,id12_v2_b6_r7.jpg,12,7,6,2,509,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
97,38,red,no,more,male,1697622184937,2419,37,id16_v1_b6_r7.jpg,16,7,6,1,955,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
98,38,red,no,more,male,1697622184937,2419,38,id7_v1_b6_r7.jpg,7,7,6,1,520,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
99,38,blue,no,more,male,1697622184937,2419,39,id26_v2_b6_r7.jpg,26,7,6,2,814,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
100,38,blue,no,more,male,1697622184937,2419,40,id8_v1_b6_r5.jpg,8,5,6,1,778,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
101,38,blue,no,more,male,1697622184937,2419,41,id1_v1_b7_r5.jpg,1,5,7,1,612,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
102,38,blue,no,more,male,1697622184937,2419,42,id24_v1_b7_r6.jpg,24,6,7,1,734,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
103,38,blue,no,more,male,1697622184937,2419,43,id27_v1_b7_r6.jpg,27,6,7,1,708,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
104,38,red,no,more,male,1697622184937,2419,44,id28_v1_b6_r7.jpg,28,7,6,1,918,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
105,38,red,no,more,male,1697622184937,2419,45,id9_v2_b5_r7.jpg,9,7,5,2,772,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
106,38,blue,no,more,male,1697622184937,2419,46,id23_v2_b6_r5.jpg,23,5,6,2,1580,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
107,38,blue,no,more,male,1697622184937,2419,47,id3_v1_b7_r6.jpg,3,6,7,1,970,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
108,38,blue,no,more,male,1697622184937,2419,48,id25_v1_b7_r6.jpg,25,6,7,1,564,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
109,38,blue,no,more,male,1697622184937,2419,49,id11_v2_b6_r5.jpg,11,5,6,2,1643,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
110,38,red,no,more,male,1697622184937,2419,50,id4_v1_b5_r6.jpg,4,6,5,1,390,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
111,38,red,no,more,male,1697622184937,2419,51,id6_v2_b5_r7.jpg,6,7,5,2,456,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
112,38,red,no,more,male,1697622184937,2419,52,id13_v1_b5_r6.jpg,13,6,5,1,639,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
113,38,red,no,more,male,1697622184937,2419,53,id29_v1_b7_r6.jpg,29,6,7,1,1966,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
114,38,blue,no,more,male,1697622184937,2419,54,id18_v1_b7_r5.jpg,18,5,7,1,578,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
115,38,red,no,more,male,1697622184937,2419,55,id19_v1_b6_r7.jpg,19,7,6,1,1080,red,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
116,38,red,no,more,male,1697622184937,2419,56,id21_v2_b7_r6.jpg,21,6,7,2,1090,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,0.0
117,38,blue,no,more,male,1697622184937,2419,57,id14_v1_b7_r6.jpg,14,6,7,1,450,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
118,38,blue,no,more,male,1697622184937,2419,58,id30_v1_b7_r6.jpg,30,6,7,1,723,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
119,38,blue,no,more,male,1697622184937,2419,59,id2_v1_b6_r5.jpg,2,5,6,1,810,blue,Netscape,2560,1440,Win32,18-09-23,11:42:55,red,other,442242,1.0
120,23,red,no,last-year,male,1697638495132,1512,0,id17_v1_b6_r5.jpg,17,5,6,1,981,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
121,23,blue,no,last-year,male,1697638495132,1512,1,id10_v2_b7_r6.jpg,10,6,7,2,736,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
122,23,blue,no,last-year,male,1697638495132,1512,2,id12_v1_b7_r6.jpg,12,6,7,1,696,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
124,23,blue,no,last-year,male,1697638495132,1512,4,id5_v2_b7_r6.jpg,5,6,7,2,1666,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
125,23,red,no,last-year,male,1697638495132,1512,5,id22_v1_b6_r7.jpg,22,7,6,1,670,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
126,23,red,no,last-year,male,1697638495132,1512,6,id8_v2_b5_r6.jpg,8,6,5,2,800,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
127,23,red,no,last-year,male,1697638495132,1512,7,id7_v2_b7_r6.jpg,7,6,7,2,1549,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
128,23,red,no,last-year,male,1697638495132,1512,8,id1_v2_b5_r7.jpg,1,7,5,2,671,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
129,23,blue,no,last-year,male,1697638495132,1512,9,id15_v2_b8_r6.jpg,15,6,8,2,954,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
130,23,red,no,last-year,male,1697638495132,1512,10,id24_v2_b6_r7.jpg,24,7,6,2,1280,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
131,23,red,no,last-year,male,1697638495132,1512,11,id26_v1_b7_r6.jpg,26,6,7,1,1185,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
132,23,red,no,last-year,male,1697638495132,1512,12,id27_v2_b6_r7.jpg,27,7,6,2,797,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
133,23,blue,no,last-year,male,1697638495132,1512,13,id16_v2_b7_r6.jpg,16,6,7,2,976,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
134,23,blue,no,last-year,male,1697638495132,1512,14,id28_v2_b7_r6.jpg,28,6,7,2,1030,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
135,23,blue,no,last-year,male,1697638495132,1512,15,id6_v1_b7_r5.jpg,6,5,7,1,688,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
137,23,blue,no,last-year,male,1697638495132,1512,17,id19_v2_b7_r6.jpg,19,6,7,2,622,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
138,23,blue,no,last-year,male,1697638495132,1512,18,id11_v1_b5_r6.jpg,11,6,5,1,1090,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
139,23,blue,no,last-year,male,1697638495132,1512,19,id21_v1_b6_r7.jpg,21,7,6,1,698,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
140,23,red,no,last-year,male,1697638495132,1512,20,id18_v2_b5_r7.jpg,18,7,5,2,1169,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
141,23,blue,no,last-year,male,1697638495132,1512,21,id13_v2_b6_r5.jpg,13,5,6,2,1470,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
142,23,red,no,last-year,male,1697638495132,1512,22,id30_v2_b6_r7.jpg,30,7,6,2,1028,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
143,23,blue,no,last-year,male,1697638495132,1512,23,id4_v2_b6_r5.jpg,4,5,6,2,1109,blue,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
144,23,blue,no,last-year,male,1697638495132,1512,24,id29_v2_b6_r7.jpg,29,7,6,2,886,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,0.0
145,23,red,no,last-year,male,1697638495132,1512,25,id14_v2_b6_r7.jpg,14,7,6,2,1176,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
146,23,red,no,last-year,male,1697638495132,1512,26,id25_v2_b6_r7.jpg,25,7,6,2,1387,red,Netscape,1512,982,MacIntel,18-09-23,16:13:24,other,other,442451,1.0
